id,native,native_norm,native_lang,type,created_at,updated_at
133,محمد,محمد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
134,محمد عزيز,محمد عزيز,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
135,مختار,مختار,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
136,مراد,مراد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
137,مروان,مروان,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
138,مروى,مروى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
139,مريم,مريم,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
140,مسالم,مسالم,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
141,مصطفى,مصطفى,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
142,معتز,معتز,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
143,ملاك,ملاك,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
144,منا,منا,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
145,منال,منال,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
146,منجية,منجيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
147,منصور,منصور,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
148,مها,مها,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
149,مهدي,مهدي,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
150,ميساء,ميساء,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
151,ميلاد,ميلاد,ar,male_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
152,مُلكة,ملكة,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
153,مُنى,منى,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
154,نائلة,نائله,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
155,ناجية,ناجيه,ar,female_name,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
