token_id,lang,translation,created_at,updated_at
104,en,Izz al-Din,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
105,fr,Aziz,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
105,en,Aziz,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
106,fr,Afef,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
106,en,Afaf,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
107,fr,Ali,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
107,en,Ali,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
108,fr,Omar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
108,en,Omar,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
109,fr,Aousha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
109,en,Awsha,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
110,fr,Ghada,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
110,en,Ghada,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
111,fr,Ghalia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
111,en,Ghalia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
112,fr,Ghani,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
112,en,Ghani,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
113,fr,Faïza,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
113,en,Faiza,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
114,fr,Fares,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
114,en,Faris,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
115,fr,Fatima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
115,en,Fatima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
116,fr,Fatmi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
116,en,Fatmi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
117,fr,Fahmi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
117,en,Fahmi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
118,fr,Farhat,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
118,en,Farhat,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
119,fr,Farah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
119,en,Farah,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
120,fr,Koussay,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
120,en,Qusay,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
121,fr,Karima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
121,en,Karima,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
122,fr,Kamel,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
122,en,Kamal,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
123,fr,Louay,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
123,en,Loay,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
124,fr,Latifa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
124,en,Latifa,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
125,fr,Lamia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
125,en,Lamia,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
126,fr,Lina,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
126,en,Lina,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
127,fr,Malek,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
127,en,Malik,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
128,fr,Maher,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
128,en,Maher,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
129,fr,Majd,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
129,en,Majd,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
130,fr,Mejdi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
130,en,Majdi,2025-08-31 13:18:16.052041+00,2025-08-31 13:18:16.052041+00
... (remaining entries follow the same format)
